#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Name_KOR
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE,이상해씨
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE,이상해풀
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE,이상해꽃
4,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE,파이리
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE,리자드
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE,리자몽
7,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE,꼬부기
8,Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE,어니부기
9,Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE,거북왕
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE,캐터피
11,Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE,단데기
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE,버터플
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE,뿔충이
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE,딱충이
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE,독침붕
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE,구구
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE,피죤
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE,피죤투
19,Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE,꼬렛
20,Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE,레트라
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE,깨비참
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE,깨비드릴조
23,Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE,아보
24,Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE,아보크
